abbrechen a p b r E C @ n
abbruch a p b r U x
ablehnen a p l e: n @ n
aendern E n d ar n
akzeptieren a k t s E p t i: r @ n
alle a l @
anfang a n f a N
anhoeren a n h Oe r @ n
an a n
annehmen a n n e: m @ n
anrufen a n r u: f @ n
anruf a n r u: f
anzeigen a n t s aI g @ n
aus aU s
bereitschaft b @ r aI t S a f t
deutsch d OY t S
ein aI n
eintrag aI n t r a: k
ende E n d @
hilfe h I l f @
ja j a:
kommando k O m a n d o:
korrektur k O r E k t u: ar
korrigieren k O r i: g i: r @ n
kurzwahl k U ar t s v a: l
loeschen l Oe S @ n
makro m a: k r o:
menue m e: n y:
nachricht n a: x r I C t
naechste n E: C s t @
name n a: m @
namenswahl n a: m @ n s v a: l
nein n aI n
neue n OY @
notruf n o: t r u: f
nuernberg n Y ar n b E ar k
nummer n U m ar
ok o: k e:
pause p aU z @
plus p l U s
ralph r a l f
raute r aU t @
schraubstock S r aU b S t O k
speichern S p aI C @ ar n
starten S t a r t @ n
start S t a r t
stern S t E ar n
stop S t O p
suchen z u: x @ n
telefonbuch t e: l e: f o: n b u: x
tina t i: n a
vor f o: ar
waehlen v E: l @ n
wahl v a: l
wahlwiederholung v a: l v i: d ar h o: l U N
weiter v aI t ar
wiedergabe v i: d ar g a b @
wiederholen v i: d ar h o: l @ n
wiederholung v i: d ar h o: l U N
zeitansage t s aI t a n z a: g @
ziffer t s I f ar
ziffernwahl t s I f ar n v a: l
zurueck t s u r Y k
zurueckweisen t s u r U E k v aI z @ n
sil sil
