WER_Digits,WER_Eri_64,Timestamp,Train_Acc,Test_Acc,Model_Type,HiddenLayer,Frames,Coeffs,Nodes,Classes,Classifier,Epochs,Actfunc,Learnrate,Optimizer,Batchnorm,Layernorm,Trainbatchsize,Testbatchsize,Test_Acc-Digits,Hid_lay_size
2.33,10.15,2017-06-23_09:09,0.5419,0.5205,MLP,5,17,257,512,135,softmax,20,relu,0.0001,adam,bnorm_entry,no_lnorm,256,100,No,
2.23,10.39,2017-06-25_19:25,0.5529,0.5361,MLP,5,21,257,512,135,softmax,20,relu,0.0001,adam,bnorm_entry,no_lnorm,256,100,No,
,,2017-06-27_12:37,0.4821,0.4852,MLP,5,17,39,512,4643,softmax,20,relu,0.0001,adam,no_bnorm,no_lnorm,256,100,No,
2.38,13.27,2017-06-29_13:12,0.5364,0.4925,MLP,5,11,257,1024,135,softmax,20,relu,0.0001,adam,bnorm_entry,no_lnorm,256,100,No,
,,2017-06-28_22:30,0.4959,0.4989,MLP,5,21,39,512,4643,softmax,20,relu,0.0001,adam,no_bnorm,no_lnorm,256,100,No,
,,2017-07-01_17:11,0.8592,0.8818,RNN,1,1,39,1000,135,softmax,20,tanh,0.0001,adam,no_bnorm,no_lnorm,256,100,No,200
,,2017-07-01_21:06,0.8866,0.9057,BASIC_LSTM,1,1,39,1000,135,softmax,20,tanh,0.0001,adam,no_bnorm,no_lnorm,256,100,No,200
,,2017-07-02_01:10,0.8867,0.9062,LSTM,1,1,39,1000,135,softmax,20,tanh,0.0001,adam,no_bnorm,no_lnorm,256,100,No,200
,,2017-07-02_05:14,0.8832,0.9033,GRU,1,1,39,1000,135,softmax,20,tanh,0.0001,adam,no_bnorm,no_lnorm,256,100,No,200
,,2017-07-01_15:42,0.7507,0.7937,RNN,1,1,39,500,135,softmax,20,tanh,0.0001,adam,no_bnorm,no_lnorm,256,100,No,200
,,2017-07-01_18:28,0.7907,0.8269,BASIC_LSTM,1,1,39,500,135,softmax,20,tanh,0.0001,adam,no_bnorm,no_lnorm,256,100,No,200
,,2017-07-02_02:41,0.7937,0.8295,LSTM,1,1,39,500,135,softmax,20,tanh,0.0001,adam,no_bnorm,no_lnorm,256,100,No,200
,,2017-07-02_07:15,0.7853,0.8235,GRU,1,1,39,500,135,softmax,20,tanh,0.0001,adam,no_bnorm,no_lnorm,256,100,No,200
,,2017-07-02_10:54,0.8361,0.8566,BASIC_LSTM,1,1,39,500,135,softmax,80,tanh,0.0001,adam,no_bnorm,no_lnorm,256,100,No,200
,13.05,2017-06-30_02:42,0.5481,0.4991,MLP,5,11,257,1536,135,softmax,20,relu,0.0001,adam,bnorm_entry,no_lnorm,256,100,No,
,14.05,2017-06-30_22:32,0.5467,0.5045,MLP,5,11,257,2048,135,softmax,20,relu,0.0001,adam,bnorm_entry,no_lnorm,256,100,No,
,,2017-07-01_17:31,0.6176,0.5846,MLP,5,11,39,512,135,softmax,20,relu,0.0001,adam,bnorm_before,no_lnorm,256,100,No,
,,2017-07-02_00:41,0.5193,0.4979,MLP,5,11,257,3072,135,softmax,20,relu,0.0001,adam,bnorm_entry,no_lnorm,256,100,No,
,,2017-07-03_16:10,0.8303,0.8622,BiLSTM,1,1,39,500,135,softmax,20,tanh,0.0001,adam,no_bnorm,no_lnorm,256,100,No,200
,,2017-07-03_19:39,0.8521,0.8762,BiLSTM,1,1,39,500,135,softmax,40,tanh,0.0001,adam,no_bnorm,no_lnorm,256,100,No,200
